"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1990",0.000004108,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.80840108,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.278165516,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",26.244478453,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.54124443,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.407555061,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.328711375,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",28.873698418,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.653348557,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",27.98166484,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.41187439,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.51133092,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.166735679,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.861882531,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.61969874,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.108576302,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",26.967863713,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.131309129,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.331477024,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.466541955,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.349441592,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.347580441,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.515223785,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.851057595,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",22.704256867,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",14.668203816,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",16.446292611,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.106295095,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",20.936759433,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",21.438601117,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2020",20.344018786,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2021",19.246701499,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2022",19.197448564,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2023",19.143446605,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2024",18.80663126,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2025",18.480727684,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2026",18.811601066,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2027",18.11144714,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1990",0.000004577,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1991",14.45115368,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1992",15.183231816,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1993",15.010181094,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1994",15.572628153,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1995",15.579968468,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1996",14.412587177,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1997",14.793363766,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1998",15.193009142,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1999",15.132197033,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2000",15.139784242,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2001",15.239281272,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2002",15.995141441,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2003",17.448408707,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2004",17.735478138,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2005",18.652742936,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2006",17.987479571,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2007",19.707587854,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2008",19.307243216,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2009",19.898254228,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2010",20.196206063,
